id,name,category_id,description,is_active,subcategory_id,marca,package_size,segment,timac_points
cead7c82-bef6-4917-8e46-c42418f119f4,"RANCONA - IPCONAZOLE 2,5% + METALAXIL 2% - 1L",cat-agroquimicos,CORTEVA,t,sub-tratamento-sementes,CORTEVA,1.00,ts,0.00
7c040919-8518-4be2-8a30-95088f9ff3f0,TOXATRIN - THIAMETOXAN 30 + BIFEN 20 - 5LTS,cat-agroquimicos,TAMPA,t,sub-tratamento-sementes,TAMPA,5.00,ts,0.00
e0195b3f-ce67-4e2c-93dd-450db4cb864f,MERCOBLOC STANDARD -  25KG.,6704c025-303a-404a-b9a4-706c4a7358c8,TIMAC,t,,TIMAC,25.00,,0.00
7ebf5308-b1aa-4bb3-b16e-65dd0dcf7aee,LOYER - DIFENOTEFURAN 20%  LAMBDACIA. 20% - 5LTS,cat-agroquimicos,TECNOMYL,t,sub-tratamento-sementes,TECNOMYL,5.00,ts,0.00
744fbf89-39e5-4628-99ca-a188bc3540b3,SEM. SORGO 1G100- BLS- CORTEVA,cat-sem-diversas,CORTEVA,t,,CORTEVA,,,0.00
da64b040-ee6b-41e8-b0ae-0bbdfc3984ce,MERCOBLOC STANDARD -  25KG.,6704c025-303a-404a-b9a4-706c4a7358c8,TIMAC,t,,TIMAC,25.00,,0.00
73bf35bb-f414-421a-a5d9-d5b0540b762e,VESSARYA - 10 LTS,cat-agroquimicos,CORTEVA,t,sub-tratamento-sementes,CORTEVA,10.00,ts,0.00
b2b84ef0-b605-4115-a371-8541c0a8593d,MERCOBLOC STANDARD -  25KG.,6704c025-303a-404a-b9a4-706c4a7358c8,TIMAC,t,,TIMAC,25.00,,0.00
b46b8044-9571-4484-9037-762799f02d5e,FERTIACTYL SWEET- 10 LTS.,cat-especialidades,TIMAC,t,,TIMAC,10.00,,1.00
254a6ba5-ecc6-437f-ba11-fa8fe822d7f9,APROACH POWER - PICOX. 9% + CIPRO 4% - 5LTS,cat-agroquimicos,CORTEVA,t,sub-tratamento-sementes,CORTEVA,5.00,ts,0.00
3e620cb8-a8b0-461c-aef0-c802b3433720,"GRAN MURALLA - METSULFUROM 60% - 0,5KG",cat-agroquimicos,AGROPLUS,t,sub-tratamento-sementes,AGROPLUS,5.00,ts,0.00
8c18045e-556a-49ec-aa41-94db282862a9,OPTIMIZER EC765 - 5L,cat-agroquimicos,BAYER,t,,BAYER,5.00,outros,0.00
893e0dbb-0e64-4ebc-ba39-79d72ed6faf7,THIAMEX PLANT - THIAMETOXAM - 1KG,cat-agroquimicos,CHDS,t,,CHDS,1.00,inseticida,0.00
e4b4c186-aa6f-432d-96fa-136e30d98997,ATRANEX - ATRAZINA 90% WG - 15KGS,cat-agroquimicos,ADAMA,t,,ADAMA,15.00,herbicida,0.00
3b17fa90-f1a1-4c37-b811-1e75a808e175,"SPHERE MAX SC - TRIFLOXIS. 37,5% + CIPROCON. 16% -",cat-agroquimicos,BAYER,t,,BAYER,,fungicida,0.00
e3698c0b-c1af-4701-a8f2-9ff8098f85a6,RITIRAM CARB PLUS- 5L,cat-agroquimicos,RIZOBACTER,t,,RIZOBACTER,5.00,outros,0.00
08527738-99af-4f17-9908-18bfe3f78861,RITIRAM CARB PLUS- 1L,cat-agroquimicos,RIZOBACTER,t,,RIZOBACTER,1.00,outros,0.00
23cfd085-6808-4957-804d-feeb6b2eacd2,BASAGRAN 600 - 5 L,cat-agroquimicos,MATRISOJA,t,,MATRISOJA,5.00,outros,0.00
808a604e-4a41-40b6-898e-bdf2aee77747,GRASIDIM - CLETONDIM 24% - 5 LTS,cat-agroquimicos,RAINBOW,t,sub-tratamento-sementes,RAINBOW,5.00,ts,0.00
1b0613b3-bae9-4ac3-9293-beca5be461a7,CENTURION- CLETODIM 24%- 5 LTS.,cat-agroquimicos,UPL,t,sub-tratamento-sementes,UPL,5.00,ts,0.00
4f2a843b-90b2-4b1d-9b21-c2267ff76499,TECNUP SG- GLIFOSATO 75%- 15KG,cat-agroquimicos,TECNOMYL,t,sub-dessecacao,TECNOMYL,15.00,herbicida,0.00
