id,user_id,master_client_id,custom_name,planting_area,cultures,planting_progress,is_top80_20,is_active,created_at,credit_limit,include_in_market_area
377484b3-f1c1-4738-8c0f-fb7806493da8,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,500d5f66-a942-4054-b7d8-4aa36e656dec,,,,0.00,f,t,2025-10-31 19:13:16.135988,,f
2fad7d45-3461-46d4-9e3f-0dca4825db88,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,29e12781-642c-4bbe-8524-302a9d50e13e,,,,0.00,f,t,2025-10-31 19:13:16.501572,,f
08b7e309-c0c8-4151-9b59-418d05e2c147,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,a9c728c9-be1d-463e-a03e-008add9f0a71,,,,0.00,f,t,2025-10-31 19:13:16.862934,,f
c5b1bf92-5a6b-413c-89b0-0a774c798fc1,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,dc1ddd61-403d-47f4-9080-116e3b57a75d,,,,0.00,f,t,2025-10-31 19:13:17.2956,,f
13ae5a96-7877-46cc-bb6d-ca15b3281acb,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,aa573d3b-10cb-411f-980c-03b506a7522c,,,,0.00,f,t,2025-10-31 19:13:19.522309,,f
2b20b08b-7113-4fe3-83cf-29e9ea5ae7f4,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,62db5de7-1cf8-4442-b12c-9206de28e509,,,,0.00,f,t,2025-10-31 19:13:21.352828,,f
bcd90ace-be5e-41fd-8a2f-a889efb24bbc,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,c11c77c0-bbe1-4ad1-bae4-4a7ccf057891,,,,0.00,f,t,2025-10-31 19:13:23.71693,,f
ecaa736d-e78d-4541-8720-45a7727b8828,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,62b6144a-d3dc-4818-8d81-24ffc62d42a9,,,,0.00,f,t,2025-10-31 19:13:24.154154,,f
9e2c8e8c-741b-4d1f-9e7f-540b51ddff29,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,e7453d41-cffc-4cfa-9473-2b39cd8f576b,,,,0.00,f,t,2025-10-31 19:13:24.536948,,f
fe64c209-0165-416a-bbde-d754114bdcab,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,0509b1d7-3b14-4c29-8238-0452cc29fb7a,,,,0.00,f,t,2025-10-31 19:13:25.068109,,f
28424b2a-3434-4759-971f-9c98c33b4669,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,fb0aa440-56f8-4d37-94bc-1e60a5400849,,,,0.00,f,t,2025-10-31 19:13:25.508031,,f
22617662-a678-4321-83f0-ec491fcce1ad,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,98ac24c5-4d90-4cda-b8e0-cc0f7171663c,,,,0.00,f,t,2025-10-31 19:13:25.967035,,f
f310a7b6-651d-4a99-8a69-158359154382,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,dde9e4ee-0415-4ede-9781-5714f9a2a9df,,,,0.00,f,t,2025-10-31 19:13:26.536073,,f
249f7e90-01a9-4dcd-bf0e-9033ff57a63b,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,d9b765db-998e-436f-bbc4-a5a62f3d93b9,,,,0.00,f,t,2025-10-31 19:13:27.253251,,f
